NAME,TAXONNO,TAXON,NATIVE,HYBRID,ID,Major_group,Family,Genus_hybrid_marker,Genus,Species_hybrid_marker,Infraspecific_rank,Infraspecific_epithet,Authorship,Taxonomic_status_in_TPL,Nomenclatural_status_original,Confidence_level,Source,Source_id,IPNI_id,Publication,Collation,Page,Date,SppID
Abies alba,896,0920  2395,AN,,kew-2609691,G,Pinaceae,,Abies,,,,Mill.,Accepted,,H,WCSP,381621,,Gard. Dict. ed. 7,"110, 2",,1759,265308
Abies grandis,897,0920  2396,AN,,kew-2609877,G,Pinaceae,,Abies,,,,(Douglas ex D.Don) Lindl.,Accepted,,H,WCSP,381804,1033427-2,Penny Cyclop.,1: 30,,1833,265327
Abies procera,898,0920  2397,AN,,kew-2610049,G,Pinaceae,,Abies,,,,Rehder,Accepted,,H,WCSP,381974,676607-1,Rhodora,42: 522,,1940,265345
Abutilon theophrasti,899,0920  2418,AC,,kew-2611008,A,Malvaceae,,Abutilon,,,,Medik.,Accepted,,L,WCSP (in review),743415,1044174-2,Malvenfam.,28,,1787,203722
Acaena novae-zelandiae,904,0920  2527,AN,,rjp-36,A,Rosaceae,,Acaena,,,,Kirk,Accepted,,H,RJP,36,720063-1,,; 1871,177,1871,303177
Acanthus mollis,7008,0920     2,AN,,kew-2615276,A,Acanthaceae,,Acanthus,,,,L.,Accepted,,M,WCSP (in review),747681,44892-1,Sp. Pl.,639,,1753,38
Acer campestre,907,0920     3,N,,kew-2615447,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),747851,781250-1,Sp. Pl.,1055,,1753,325848
Acer cappadocicum,10172,0920  7132,AN,,kew-2615475,A,Sapindaceae,,Acer,,,,Gled.,Accepted,,M,WCSP (in review),747879,,Schriften Berlin. Ges. Naturf. Freunde,6: 116,,1785,325850
Acer negundo,10173,0920  7133,AN,,kew-2616024,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),748414,781412-1,Sp. Pl.,1056,,1753,325923
Acer platanoides,908,0920     4,AN,,kew-2616254,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),748642,781455-1,Sp. Pl.,1055,,1753,325942
Acer pseudoplatanus,909,0920     5,AN,,kew-2616276,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),748664,781462-1,Sp. Pl.,1054,,1753,325945
Acer saccharinum,6773,0920  5387,AN,,kew-2616367,A,Sapindaceae,,Acer,,,,L.,Accepted,,M,WCSP (in review),748754,1892-2,Sp. Pl.,1055,,1753,325955
Aceras anthropophorum,910,0920     6,N,,,,,,,,,,,,,,,,,,,,,
Achillea millefolium,912,0920     7,N,,gcc-140712,A,Compositae,,Achillea,,,,L.,Accepted,,M,TICA,40160FE1-53D5-4C15-9595-F5B87A104673,2294-2,Sp. Pl. 2,,899,1753,72343
Achillea ptarmica,914,0920     9,N,,gcc-132682,A,Compositae,,Achillea,,,,L.,Accepted,,M,TICA,991805AE-E8DB-4851-87D0-E3CE4469B956,2336-2,Sp. Pl.,,898,1753,72363
Aconitum napellus s.l.,62759,0920  3305,NA,,,,,,,,,,,,,,,,,,,,,
Acorus calamus,921,0920    15,AN,,kew-2304,A,Acoraceae,,Acorus,,,,L.,Accepted,,H,WCSP,2304,84009-1,Sp. Pl.,324,,1753,4060
Actaea spicata,6979,0920    16,N,,kew-2620577,A,Ranunculaceae,,Actaea,,,,L.,Accepted,,M,WCSP (in review),752949,303913-2,Sp. Pl.,504,,1753,299151
Adiantum capillus-veneris,7011,0910    17,N,,tro-26602671,P,Pteridaceae,,Adiantum,,,,L.,Accepted,,M,TRO,26602671,17009280-1,Sp. Pl.,2: 1096,1096,1753,296469
Adonis annua,922,0920    18,AR,,kew-2623065,A,Ranunculaceae,,Adonis,,,,L.,Accepted,,M,WCSP (in review),755422,708062-1,Sp. Pl.,547,,1753,299159
Adoxa moschatellina,923,0920    19,N,,kew-2623230,A,Adoxaceae,,Adoxa,,,,L.,Accepted,,M,WCSP (in review),755586,148240-1,Sp. Pl.,367,,1753,4302
Aegopodium podagraria,924,0920    20,AR,,kew-2623499,A,Apiaceae,,Aegopodium,,,,L.,Accepted,,M,WCSP (in review),755855,837329-1,Sp. Pl.,265,,1753,15875
Aesculus carnea,925,0920  2420,AN,,,,,,,,,,,,,,,,,,,,,
Aesculus hippocastanum,926,0920  2241,AN,,kew-2624517,A,Sapindaceae,,Aesculus,,,,L.,Accepted,,M,WCSP (in review),756868,781594-1,Sp. Pl.,344,,1753,326007
Aethusa cynapium,927,0920    21,NA,,kew-2624785,A,Apiaceae,,Aethusa,,,,L.,Accepted,,M,WCSP (in review),757136,837341-1,Sp. Pl.,256,,1753,15877
Agrimonia eupatoria,931,0920    22,N,,rjp-408,A,Rosaceae,,Agrimonia,,,,L.,Accepted,,L,RJP,408,316550-2,"Species plantarum, edition 1","Species plantarum, edition 1; 1753",448,1753,303194
Agrimonia procera,933,0920    23,N,,rjp-390,A,Rosaceae,,Agrimonia,,,,Wallr.,Accepted,,H,RJP,390,720304-1,Erster Beitrag zur Flora hercynica,Erster Beitrag zur Flora hercynica; 1840,203,1840,303203
Agrostemma githago,946,0920    34,AR,,kew-2626726,A,Caryophyllaceae,,Agrostemma,,,,L.,Accepted,,M,WCSP (in review),759050,95561-3,Sp. Pl.,435,,1753,64478
Agrostis canina,948,0920    35.2,N,,kew-389335,A,Poaceae,,Agrostis,,,,L.,Accepted,,H,WCSP,389335,385537-1,Sp. Pl.,62,,1753,271514
Agrostis capillaris,953,0920    40,N,,kew-387729,A,Poaceae,,Agrostis,,,,L.,Accepted,,H,WCSP,387729,30197865-2,Sp. Pl.,62,,1753,271515
Agrostis castellana,10568,0920  7141,AN,,kew-387742,A,Poaceae,,Agrostis,,,,Boiss. & Reut.,Accepted,,H,WCSP,387742,271894-2,Diagn. Pl. Nov. Hisp.,26,,1842,271517
Agrostis curtisii,957,0920    38,N,,kew-389458,A,Poaceae,,Agrostis,,,,Kerguélen,Accepted,,H,WCSP,389458,385626-1,Lejeunia,75(Err. & Corr.): 1,,1975,271524
Agrostis gigantea,958,0920    36,AR,,kew-389634,A,Poaceae,,Agrostis,,,,Roth,Accepted,,L,WCSP,389634,385783-1,Tent. Fl. Germ.,1: 31,,1788,271549
Agrostis stolonifera,963,0920    39,N,,kew-390383,A,Poaceae,,Agrostis,,,,L.,Accepted,,H,WCSP,390383,386353-1,Sp. Pl.,62,,1753,271670
